C,T,N,Kmax,Jmin,Tempo,HMenorJ,seed,O
10,0.1,10000,50,6.493379047072682,6.04e-5,false,5,true
10,0.5,10000,50,6.493379047072682,6.36e-5,true,2,true
20,0.2,10000,50,7.676882573559672,0.0001776,true,5,true
20,0.2,10000,50,7.676882573559672,0.0001062,false,8,true
40,0.1,10000,50,7.715181780958089,0.0015318,false,8,true
40,0.1,10000,50,7.715181780958089,0.0014678,true,8,true
60,0.1,10000,50,7.722296358324143,0.0045303,false,10,true
60,0.3,10000,50,7.722296358324143,0.0080933,true,5,true
80,0.2,10000,50,7.724788095334695,0.0127696,false,1,true
80,0.3,10000,50,7.724788095334698,0.0328702,true,7,true
100,0.2,100000,100,7.725941700646295,0.2301467,false,6,true
100,0.3,100000,50,7.725941700646296,0.6684132,true,8,true
150,0.2,100000,100,7.650882813515684,1.9365358,false,3,true
150,0.3,100000,100,11.05847752686268,1.9644596,true,7,false
200,0.2,100000,500,7.727480123632437,8.6677208,false,10,true
200,0.2,100000,500,14.697177105279144,12.7741503,true,7,false
250,0.2,100000,1000,7.804055021208501,31.8175052,false,7,false
250,0.2,100000,2000,7.681905344594498,58.2937851,false,7,true
250,0.2,100000,2000,14.245978290561464,59.0649512,true,7,false
150,0,0,0,10000.0,10000.0,true,0,false
150,0,0,0,10000.0,10000.0,true,0,false
150,0,0,0,10000.0,10000.0,true,0,false
