C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs,t
100,false,0.0,0.38440838,0.0,50,150,1,0,0,100,3.910389
100,false,0.0,0.30441257,0.0,50,150,2,0,0,100,5.207567
100,false,0.0,0.23886327,0.0,50,150,3,0,0,100,5.264923
100,false,0.0,0.18995543,0.0,50,150,4,0,0,100,5.9396577
100,false,0.0,0.15933327,0.0,50,150,5,0,0,100,6.3697405
100,false,0.0,0.5038373,0.0,50,300,1,0,0,100,7.7614074
100,false,0.0,0.38000992,0.0,50,300,2,0,0,100,9.542156
100,false,0.0,0.2832822,0.0,50,300,3,0,0,100,10.423441
100,false,0.0,0.21745588,0.0,50,300,4,0,0,100,11.787432
100,false,0.0,0.17195606,0.0,50,300,5,0,0,100,12.025657
100,false,0.0,0.51468265,0.0,50,450,1,0,0,100,11.979456
100,false,0.0,0.3918861,0.0,50,450,2,0,0,100,13.445771
100,false,0.0,0.29036656,0.0,50,450,3,0,0,100,14.811608
100,false,0.0,0.21912856,0.0,50,450,4,0,0,100,16.026037
100,false,0.0,0.17183171,0.0,50,450,5,0,0,100,17.568022
100,false,0.0,0.51784617,0.0,50,600,1,0,0,100,14.952179
100,false,0.0,0.3937419,0.0,50,600,2,0,0,100,18.284159
100,false,0.0,0.29810914,0.0,50,600,3,0,0,100,20.145166
100,false,0.0,0.21887226,0.0,50,600,4,0,0,100,22.123718
100,false,0.0,0.1701136,0.0,50,600,5,0,0,100,22.446207
100,false,0.0,0.52256674,0.0,50,750,1,0,0,100,19.67867
100,false,0.0,0.38921207,0.0,50,750,2,0,0,100,20.379238
100,false,0.0,0.30323786,0.0,50,750,3,0,0,100,21.536922
100,false,0.0,0.22489578,0.0,50,750,4,0,0,100,23.580318
100,false,0.0,0.17071518,0.0,50,750,5,0,0,100,29.521803
100,false,0.0,0.5150998,0.0,100,150,1,0,0,100,8.2666235
100,false,0.0,0.44461012,0.0,100,150,2,0,0,100,9.285926
100,false,0.0,0.3666512,0.0,100,150,3,0,0,100,10.455913
100,false,0.0,0.31610608,0.0,100,150,4,0,0,100,10.525795
100,false,0.0,0.2660375,0.0,100,150,5,0,0,100,11.324702
100,false,0.0,0.6537398,0.0,100,300,1,0,0,100,15.584294
100,false,0.0,0.55748594,0.0,100,300,2,0,0,100,17.198214
100,false,0.0,0.46525815,0.0,100,300,3,0,0,100,19.881405
100,false,0.0,0.41725758,0.0,100,300,4,0,0,100,21.004824
100,false,0.0,0.35193422,0.0,100,300,5,0,0,100,21.339714
100,false,0.0,0.726222,0.0,100,450,1,0,0,100,22.967146
100,false,0.0,0.5782278,0.0,100,450,2,0,0,100,26.372402
100,false,0.0,0.4831833,0.0,100,450,3,0,0,100,25.393555
100,false,0.0,0.43714616,0.0,100,450,4,0,0,100,25.809946
100,false,0.0,0.38398823,0.0,100,450,5,0,0,100,25.625929
100,false,0.0,0.7718119,0.0,100,600,1,0,0,100,31.350517
100,false,0.0,0.5726381,0.0,100,600,2,0,0,100,35.46621
100,false,0.0,0.48696345,0.0,100,600,3,0,0,100,36.894863
100,false,0.0,0.4497686,0.0,100,600,4,0,0,100,35.003963
100,false,0.0,0.39163628,0.0,100,600,5,0,0,100,35.19873
100,false,0.0,0.78947794,0.0,100,750,1,0,0,100,30.58721
100,false,0.0,0.57439274,0.0,100,750,2,0,0,100,32.26697
100,false,0.0,0.48225918,0.0,100,750,3,0,0,100,31.3249
100,false,0.0,0.4473187,0.0,100,750,4,0,0,100,48.86065
100,false,0.0,0.39714155,0.0,100,750,5,0,0,100,49.27597
100,false,0.0,0.61622363,0.0,150,150,1,0,0,100,11.538932
100,false,0.0,0.55376446,0.0,150,150,2,0,0,100,12.076819
100,false,0.0,0.47950348,0.0,150,150,3,0,0,100,13.351958
100,false,0.0,0.41241208,0.0,150,150,4,0,0,100,13.559722
100,false,0.0,0.35273248,0.0,150,150,5,0,0,100,14.410644
100,false,0.0,0.8368346,0.0,150,300,1,0,0,100,19.88308
100,false,0.0,0.6839534,0.0,150,300,2,0,0,100,26.658674
100,false,0.0,0.616775,0.0,150,300,3,0,0,100,28.494656
