C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs
50,false,0.0,0.37642634,0.0,25,100,2,0,0,100
50,false,0.0,0.24370113,0.0,25,100,4,0,0,100
50,false,0.0,0.19133028,0.0,25,100,6,0,0,100
50,false,0.0,0.16583411,0.0,25,100,8,0,0,100
50,false,0.0,0.15287769,0.0,25,100,10,0,0,100
50,false,0.0,0.4095299,0.0,25,200,2,0,0,100
50,false,0.0,0.24847433,0.0,25,200,4,0,0,100
50,false,0.0,0.1924282,0.0,25,200,6,0,0,100
50,false,0.0,0.16650108,0.0,25,200,8,0,0,100
50,false,0.0,0.15333886,0.0,25,200,10,0,0,100
50,false,0.0,0.4115991,0.0,25,300,2,0,0,100
50,false,0.0,0.24696092,0.0,25,300,4,0,0,100
50,false,0.0,0.1919802,0.0,25,300,6,0,0,100
50,false,0.0,0.1673327,0.0,25,300,8,0,0,100
50,false,0.0,0.15299045,0.0,25,300,10,0,0,100
50,false,0.0,0.41327915,0.0,25,400,2,0,0,100
50,false,0.0,0.25283894,0.0,25,400,4,0,0,100
50,false,0.0,0.19157334,0.0,25,400,6,0,0,100
50,false,0.0,0.16572393,0.0,25,400,8,0,0,100
50,false,0.0,0.1524796,0.0,25,400,10,0,0,100
50,false,0.0,0.40574715,0.0,25,500,2,0,0,100
50,false,0.0,0.24698818,0.0,25,500,4,0,0,100
50,false,0.0,0.19427437,0.0,25,500,6,0,0,100
50,false,0.0,0.16566776,0.0,25,500,8,0,0,100
50,false,0.0,0.1526705,0.0,25,500,10,0,0,100
50,false,0.0,0.5665092,0.0,50,100,2,0,0,100
50,false,0.0,0.39402455,0.0,50,100,4,0,0,100
50,false,0.0,0.28683043,0.0,50,100,6,0,0,100
50,false,0.0,0.2323754,0.0,50,100,8,0,0,100
50,false,0.0,0.20032115,0.0,50,100,10,0,0,100
50,false,0.0,0.62378514,0.0,50,200,2,0,0,100
50,false,0.0,0.4264412,0.0,50,200,4,0,0,100
50,false,0.0,0.2998227,0.0,50,200,6,0,0,100
50,false,0.0,0.22930063,0.0,50,200,8,0,0,100
50,false,0.0,0.19821838,0.0,50,200,10,0,0,100
50,false,0.0,0.6362631,0.0,50,300,2,0,0,100
