C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs,taxaM,t
100,false,98.0,0.9889935,98084.19,250,750,1,0,0,100,0.4,45.76246
100,false,98.0,0.9888341,79857.14,250,750,1,0,0,100,0.6,27.468824
100,false,100.0,1.0,61587.5,250,750,1,0,0,100,0.8,29.649721
100,false,100.0,1.0,66447.5,250,750,1,0,0,100,1.0,28.048695
100,false,98.0,0.9882121,95341.836,250,750,2,0,0,100,0.4,46.378483
100,false,99.0,0.994648,74671.72,250,750,2,0,0,100,0.6,26.745947
100,false,99.0,0.9946682,59676.77,250,750,2,0,0,100,0.8,30.58675
100,false,84.0,0.9874592,106821.43,250,750,2,0,0,100,1.0,48.139126
100,false,97.0,0.98330975,97033.51,250,750,4,0,0,100,0.4,46.663082
100,false,100.0,1.0,75920.0,250,750,4,0,0,100,0.6,28.11327
100,false,95.0,0.9719926,66052.63,250,750,4,0,0,100,0.8,39.33803
100,false,7.0,0.6924107,114750.0,250,750,4,0,0,100,1.0,62.965515
100,false,99.0,0.9946162,109055.555,250,750,6,0,0,100,0.4,52.913116
100,false,99.0,0.99418837,79540.41,250,750,6,0,0,100,0.6,27.754866
100,false,98.0,0.98896635,72836.734,250,750,6,0,0,100,0.8,40.646553
100,false,0.0,0.63966,0.0,250,750,6,0,0,100,1.0,65.05936
100,false,98.0,0.9889712,101844.39,250,750,8,0,0,100,0.4,49.061996
100,false,96.0,0.97766024,83390.625,250,750,8,0,0,100,0.6,45.767883
100,false,99.0,0.9941577,75179.29,250,750,8,0,0,100,0.8,43.41333
100,false,0.0,0.5738953,0.0,250,750,8,0,0,100,1.0,89.30363
100,false,99.0,0.994015,105126.266,250,750,10,0,0,100,0.4,50.045723
100,false,100.0,1.0,86382.5,250,750,10,0,0,100,0.6,44.56478
100,false,100.0,1.0,80622.5,250,750,10,0,0,100,0.8,45.84827
100,false,0.0,0.5603765,0.0,250,750,10,0,0,100,1.0,90.96519
