C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs,taxaM,t
100,false,98.0,0.9889935,98084.19,250,750,1,0,0,100,0.4,45.76246
100,false,98.0,0.9888341,79857.14,250,750,1,0,0,100,0.6,27.468824
100,false,100.0,1.0,61587.5,250,750,1,0,0,100,0.8,29.649721
100,false,100.0,1.0,66447.5,250,750,1,0,0,100,1.0,28.048695
100,false,98.0,0.9882121,95341.836,250,750,2,0,0,100,0.4,46.378483
100,false,99.0,0.994648,74671.72,250,750,2,0,0,100,0.6,26.745947
100,false,99.0,0.9946682,59676.77,250,750,2,0,0,100,0.8,30.58675
100,false,84.0,0.9874592,106821.43,250,750,2,0,0,100,1.0,48.139126
100,false,97.0,0.98330975,97033.51,250,750,4,0,0,100,0.4,46.663082
100,false,100.0,1.0,75920.0,250,750,4,0,0,100,0.6,28.11327
100,false,95.0,0.9719926,66052.63,250,750,4,0,0,100,0.8,39.33803
100,false,7.0,0.6924107,114750.0,250,750,4,0,0,100,1.0,62.965515
100,false,99.0,0.9946162,109055.555,250,750,6,0,0,100,0.4,52.913116
100,false,99.0,0.99418837,79540.41,250,750,6,0,0,100,0.6,27.754866
100,false,98.0,0.98896635,72836.734,250,750,6,0,0,100,0.8,40.646553
100,false,0.0,0.63966,0.0,250,750,6,0,0,100,1.0,65.05936
100,false,98.0,0.9889712,101844.39,250,750,8,0,0,100,0.4,49.061996
100,false,96.0,0.97766024,83390.625,250,750,8,0,0,100,0.6,45.767883
100,false,99.0,0.9941577,75179.29,250,750,8,0,0,100,0.8,43.41333
100,false,0.0,0.5738953,0.0,250,750,8,0,0,100,1.0,89.30363
100,false,99.0,0.994015,105126.266,250,750,10,0,0,100,0.4,50.045723
100,false,100.0,1.0,86382.5,250,750,10,0,0,100,0.6,44.56478
100,false,100.0,1.0,80622.5,250,750,10,0,0,100,0.8,45.84827
100,false,0.0,0.5603765,0.0,250,750,10,0,0,100,1.0,90.96519
100,true,100.0,1.0,748566.2,250,750,1,3,50,100,0.4,105.86189
100,true,100.0,1.0,769869.7,250,750,1,3,50,100,0.6,91.8979
100,true,100.0,1.0,815871.8,250,750,1,3,50,100,0.8,127.7347
100,true,100.0,1.0,1.2366086e6,250,750,1,3,50,100,1.0,118.64826
100,true,100.0,1.0,713811.7,250,750,2,3,50,100,0.4,114.33338
100,true,100.0,1.0,722899.8,250,750,2,3,50,100,0.6,90.78897
100,true,100.0,1.0,780031.5,250,750,2,3,50,100,0.8,124.05936
100,true,100.0,1.0,1.3937338e6,250,750,2,3,50,100,1.0,130.4295
100,true,100.0,1.0,708041.4,250,750,4,3,50,100,0.4,117.53769
100,true,100.0,1.0,790412.75,250,750,4,3,50,100,0.6,96.72451
100,true,100.0,1.0,910789.94,250,750,4,3,50,100,0.8,138.84984
100,true,100.0,1.0,2.2264022e6,250,750,4,3,50,100,1.0,159.38548
100,true,100.0,1.0,757394.7,250,750,6,3,50,100,0.4,126.141205
100,true,100.0,1.0,864930.3,250,750,6,3,50,100,0.6,98.62614
100,true,100.0,1.0,992714.3,250,750,6,3,50,100,0.8,160.34244
100,true,100.0,1.0,3.0005848e6,250,750,6,3,50,100,1.0,181.72974
100,true,100.0,1.0,802291.25,250,750,8,3,50,100,0.4,134.2234
100,true,100.0,1.0,894512.25,250,750,8,3,50,100,0.6,147.48163
100,true,100.0,1.0,1.1101482e6,250,750,8,3,50,100,0.8,174.38205
100,true,93.0,0.9677995,3.8996335e6,250,750,8,3,50,100,1.0,359.39774
100,true,100.0,1.0,835456.7,250,750,10,3,50,100,0.4,140.71002
100,true,100.0,1.0,941613.7,250,750,10,3,50,100,0.6,151.52399
100,true,100.0,1.0,1.1719759e6,250,750,10,3,50,100,0.8,182.4953
100,true,89.0,0.9613142,4.459718e6,250,750,10,3,50,100,1.0,383.26782
