C,T,N,Kmax,Jmin,Tempo,HMenorJ,seed,O
10,0.1,10000,50,6.493379047072682,6.04e-5,false,5,true
10,0.5,10000,50,6.493379047072682,6.36e-5,true,2,true
20,0.2,10000,50,7.676882573559672,0.0001776,true,5,true
20,0.2,10000,50,7.676882573559672,0.0001062,false,8,true
40,0.1,10000,50,7.715181780958089,0.0015318,false,8,true
40,0.1,10000,50,7.715181780958089,0.0014678,true,8,true
60,0.1,10000,50,7.722296358324143,0.0045303,false,10,true
60,0.3,10000,50,7.722296358324143,0.0080933,true,5,true
80,0.2,10000,50,7.724788095334695,0.0127696,false,1,true
80,0.3,10000,50,7.724788095334698,0.0328702,true,7,true
100,0.2,100000,100,7.725941700646295,0.2301467,false,6,true
100,0.3,100000,50,7.725941700646296,0.6684132,true,8,true
