C,T,N,Kmax,Jmin,Tempo,HMenorJ,O
5,1,1000.0,10,6.175570455492887,0.0112847,false,true
5,1,1000.0,10,6.175570455492887,0.0118121,false,true
5,1,1000.0,10,6.1755704554928865,0.0114872,false,true
5,1,1000.0,10,6.1755704554928865,0.0115322,false,true
5,1,1000.0,10,6.1755704554928865,0.0115353,false,true
5,1,1000.0,10,6.1755704554928865,0.011442,true,true
5,1,1000.0,10,6.175570455492887,0.0112999,true,true
5,1,1000.0,10,6.175570455492887,0.0114218,true,true
5,1,1000.0,10,6.1755704554928865,0.0116264,true,true
5,1,1000.0,10,6.1755704554928865,0.0115765,true,true
5,1,1000.0,10,6.1755704554928865,0.0121169,false,true
5,1,1000.0,10,6.175570455492887,0.0116504,true,true
5,1,1000.0,10,6.1755704554928865,0.0115388,false,true
20,1,1000.0,10,7.676882573559671,0.1677751,false,true
20,1,1000.0,10,8.94532116286543,0.1764929,false,false
10,1,10000.0,50,6.493379047072682,0.0187193,false,true
10,1,10000.0,50,6.493379047072682,0.0224024,false,true
10,1,10000.0,50,6.493379047072682,0.0183931,false,true
10,1,10000.0,50,6.493379047072682,0.0686915,false,true
10,1,10000.0,50,6.493379047072682,0.0163127,false,true
10,1,10000.0,50,6.493379047072682,0.0215113,false,true
10,1,10000.0,50,6.493379047072682,0.0178435,true,true
10,1,10000.0,50,6.493379047072682,0.0196994,true,true
10,1,10000.0,50,6.493379047072682,0.0396066,true,true
10,1,10000.0,50,6.493379047072682,0.0328142,true,true
10,1,10000.0,50,6.493379047072682,0.0132529,true,true
10,1,10000.0,50,6.493379047072682,0.0364069,true,true
10,1,10000.0,50,6.493379047072682,0.0706281,true,true
100,1,1000.0,10,43.830506258694804,0.7927298,true,false
20,1,1000.0,20,9.531097349256738,0.3678559,true,false
20,0.8,10000.0,20,8.311101868212551,3.4987223,true,false
20,0.8,10000.0,20,8.311101868212551,3.5244046,false,false
20,0.8,10000.0,30,7.676882573559672,0.6584941,false,true
20,0.8,10000.0,30,7.676882573559671,0.4430033,false,true
20,0.8,10000.0,30,7.676882573559671,0.4545385,false,true
20,0.8,10000.0,30,7.676882573559672,0.6565968,false,true
20,0.8,10000.0,30,7.676882573559672,0.7798788,false,true
20,0.8,10000.0,30,7.676882573559672,0.6115569,false,true
20,0.8,10000.0,30,7.676882573559671,0.6853909,true,true
20,0.8,10000.0,30,7.676882573559672,0.4165884,true,true
20,0.8,10000.0,30,8.725532552008795,5.4179345,true,false
20,0.8,10000.0,30,7.676882573559671,0.6912793,true,true
20,0.8,10000.0,30,7.676882573559671,0.6505658,true,true
20,1,10000.0,30,7.676882573559671,1.0111992,true,true
20,1,10000.0,30,7.676882573559672,0.8087862,true,true
20,1,10000.0,30,7.676882573559671,0.7762209,true,true
20,1,10000.0,30,7.676882573559672,0.9682726,true,true
20,1,10000.0,30,7.676882573559672,0.7554573,true,true
20,1,10000.0,30,7.676882573559671,1.1967933,false,true
20,1,10000.0,30,7.676882573559671,1.0357455,false,true
20,1,10000.0,30,7.676882573559672,1.0394802,false,true
20,1,10000.0,30,7.676882573559671,1.0189913,false,true
20,1,10000.0,30,7.676882573559671,1.0078953,false,true
10,1,10000.0,10,6.493379047072682,0.0300449,false,true
10,1,10000.0,10,6.493379047072682,0.0488142,false,true
10,1,10000.0,10,6.493379047072682,0.04028,false,true
10,1,10000.0,10,6.493379047072682,0.030718,false,true
10,1,10000.0,10,6.493379047072682,0.0147535,false,true
10,1,10000.0,10,6.493379047072682,0.092769,true,true
10,1,10000.0,10,6.493379047072682,0.0676227,true,true
10,1,10000.0,10,6.493379047072682,0.0162598,true,true
10,1,10000.0,10,6.493379047072682,0.0768727,true,true
10,1,10000.0,10,6.493379047072682,0.0185095,true,true
10,1,10000.0,10,6.493379047072682,0.0756993,true,true
10,1,10000.0,10,6.493379047072682,0.0304619,true,true
10,1,10000.0,30,6.493379047072682,0.0143783,false,true
20,1,10000.0,30,7.676882573559671,1.0702269,false,true
10,1,10000.0,10,6.493379047072682,0.0436704,false,true
10,1,10000.0,10,6.493379047072682,0.0193531,true,true
20,1,10000.0,30,7.676882573559671,0.9327052,true,true
